Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,Name_of_Spouse_Spouse,Sex,Profession
Edith Eliza Gales Angell,1874-08-08,"Calne, Wiltshire, England",1954-06-03,"Winnipeg, Manitoba, Canada",William Henry Chamberlain​ ​,1900-01-01,,2.0,0.0,3,1.0,,,,,,,,,F,journalist
Hélène Harbec,,,,,,,,,,,,,,,,,,,,F,journalist
Cheryl Hardcastle,,,,,,,,,,,,,,,,,,,,F,journalist
Florence MacLeod Harper,,,,,,,,,,,,,,,,,,,,F,journalist
Kate Simpson Hayes,,,,,,,,,,,,,,,,,,,,F,journalist
Sparkle Hayter,,,,,,,,,,,,,,,,,,,,F,journalist
Chantal St-Cyr Hébert,1954-04-24,"Ottawa, Ontario, Canada",,,,,,,,,,,,,,,,,,F,journalist
Helen Anne Henderson,,,,,,,,,,,,,,,,,,,,F,journalist
Sophie Margaretta Almon Hensley,,,,,,,,,,,,,,,,,,,,F,journalist
Ella Cora Hind,1861-09-18,Toronto,1942-10-06,"Winnipeg, Manitoba",,,,,,,,,,,,,,,,F,journalist
Norah M. Holland,,,,,,,,,,,,,,,,,,,,F,journalist
Joan Hollobon,1920-01-01,Isle of Wight,,,,,,,,,,,,,,,,,,F,journalist
Julia Archibald Holmes,1838-02-15,"Noel, Nova Scotia, Canada",1887-01-19,,James H. Holmes ​,1857-01-01,,1.0,0.0,,0.0,,,,,,,,,F,journalist
Simma Holt,,,,,,,,,,,,,,,,,,,,F,journalist
Katherine Angelina Hughes,1876-11-12,"Emerald Junction, Prince Edward Island",1925-04-26,"The Bronx, New York",,,,,,,,,,,,,,,,F,journalist
Linda Hughes,,,,,,,,,,,,,,,,,,,,F,journalist
Sangita Iyer,,"Kerala, India",,,,,,,,,,,,,,,,,,F,journalist
Marni Jackson,,,,,,,,,,,,,,,,,,,,F,journalist
Uzma Jalaluddin,1980-01-01,,,,,,,,,,,,,,,,,,,F,journalist
Edith Josie,1921-12-08,"Eagle, Alaska",2010-01-31,"Old Crow, Yukon, Canada",,,,,,,,,,,,,,,,F,journalist
Barbara Kay,1943-01-01,,,,Ronny Kay,,,1.0,,"2, including Jonathan Kay",,,,,,,,,,F,journalist
Zahra Kazemi,1948-01-01,"Shiraz, Iran",2003-07-11,"Evin Prison, Tehran, Iran",,,,,,1,,,,,,,,,,F,journalist
Kathleen Kenna,,,,,,,,,,,,,,,,,,,,F,journalist
Tasha Kheiriddin,1970-06-25,"Montreal, Quebec, Canada",,,,,,,,,,,,,,,,,,F,journalist
Patty Kim,,,,,,,,,,,,,,,,,,,,F,journalist
Diana Kingsmill Wright,,,,,,,,,,,,,,,,,,,,F,journalist
Alice Klein,,,,,,,,,,,,,,,,,,,,F,journalist
Naomi Klein,,,,,,,,,,,,,,,,,,,,F,journalist
Karin Kloosterman,,,,,,,,,,,,,,,,,,,,F,journalist
Penney Kome,,,,,,,,,,,,,,,,,,,,F,journalist
Frances Koncan,1986-01-01,Couchiching First Nation,,,,,,,,,,,,,,,,,,F,journalist
Myrna Kostash,,,,,,,,,,,,,,,,,,,,F,journalist
Andréanne Lafond,,,,,,,,,,,,,,,,,,,,F,journalist
Donna Laframboise,,,,,,,,,,,,,,,,,,,,F,journalist
Catherine Lalonde,,,,,,,,,,,,,,,,,,,,F,journalist
Michele Landsberg,,,,,,,,,,,,,,,,,,,,F,journalist
Michelle Lang,1975-01-31,"Vancouver, British Columbia, Canada",2009-12-30,"Kandahar, Afghanistan",,,,,,,,,,,,,,,,F,journalist
Joy Langan,,,,,,,,,,,,,,,,,,,,F,journalist
Lisette Lapointe,,,,,,,,,,,,,,,,,,,,F,journalist
Isabel LeBourdais,,,,,,,,,,,,,,,,,,,,F,journalist
Josée Legault,,,,,,,,,,,,,,,,,,,,F,journalist
Chandler Levack,,,,,,,,,,,,,,,,,,,,F,journalist
Sue-Ann Levy,,,,,,,,,,,,,,,,,,,,F,journalist
Amanda Lindhout,1981-06-12,"Red Deer, Alberta, Canada",,,,,,,,,,,,,,,,,,F,journalist
Dahlia Lithwick,,"Ottawa, Ontario, Canada",,,,,,,,,,,,,,,,,,F,journalist
Madge Macbeth,,,,,,,,,,,,,,,,,,,,F,journalist
Judy MacDonald,,,,,,,,,,,,,,,,,,,,F,journalist
Linda MacLennan,,,,,,,,,,,,,,,,,,,,F,journalist
Terese Marie Mailhot,,,,,,,,,,,,,,,,,,,,F,journalist
Andrée Maillet,,,,,,,,,,,,,,,,,,,,F,journalist
Heather Mallick,,,,,,,,,,,,,,,,,,,,F,journalist
Irshad Manji,1968-01-01,"near Kampala, Uganda",,,,,,,,,,,,,,,,,,F,journalist
Joséphine Marchand,,,,,,,,,,,,,,,,,,,,F,journalist
Malka Marom,,,,,,,,,,,,,,,,,,,,F,journalist
Rachel Marsden,1974-12-02,"Port Coquitlam, British Columbia, Canada",,,,,,,,,,,,,,,,,,F,journalist
Heather Marsh,,,,,,,,,,,,,,,,,,,,F,journalist
